SourceDisplayName,AccessionNumber,Barcode,Institution,SourceAddedDate,NameFamily,NameSubfamily,NameGenus,NameSpecies,exotic_native,NameSubspecies,NameAuthorDate,IdentifiedBy,IdentifiedDate,Locality,Altitude,Region,Latitude,Longitude,MapSeries,MapSheet,MapEastingAndNorthing,Expr1021,MapEasting,MapNorthing,MapAccuracy,Collector,CollectionDateTextFrom,CollectionDateTextTo,CollectionDateISOFrom,CollectionTime,Habitat,HostPlant,PlantPart,BuiltName,Lat,Long
NZAC_Syrphid,NZAC04024664,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,Otira,,,4249,17133,,,,,,,Translated,,20-Nov-19,,1919\11\20,,,,,Platycheirus 94-1,-42.49,171.33
NZAC_Syrphid,NZAC04024653,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,"Hollyford Valley, Key Summit",1036m,,4448,16807,,,,,,,Translated,K Z Wilson,11-Dec-66,,1966\12\11,,,,,Platycheirus 94-1,-64.76017996,233.1406472
NZAC_Syrphid,NZAC04024697,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,"S W Stewart I, N E Long I",121-213m,,4714,16726,,,,,,,Translated,,6-Nov-68,13-Nov-68,1968\11\06,,moor,,,Platycheirus 94-1,-47.14,167.26
NZAC_Syrphid,NZAC04024681,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,"S W Stewart I, N E Long I",121-213m,,4714,16726,,,,,,,Translated,,6-Nov-68,13-Nov-68,1968\11\06,,moor,,,Platycheirus 94-1,-47.14,167.26
NZAC_Syrphid,NZAC04024610,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,"S W Stewart I, N E Long I",121-213m,,4714,16726,,,,,,,Translated,,6-Nov-68,13-Nov-68,1968\11\06,,moor,,,Platycheirus 94-1,-47.14,167.26
NZAC_Syrphid,NZAC04024649,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,"S W Stewart I, N E Long I",,,4714,16726,,,,,,,Translated,,12-Nov-68,,1968\11\12,,,Stilbocarpa,leaf,Platycheirus 94-1,-47.14,167.26
NZAC_Syrphid,NZAC04024656,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,"North Egmont, Holly Hut",950m,,3915,17405,,,,,,,Translated,A K Walker,27-Nov-75,,1975\11\27,,,Ourisia,flowers,Platycheirus 94-1,-39.15,174.05
NZAC_Syrphid,NZAC04024701,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,L Rotoiti,610m,,4148,17249,,,,,,,Translated,A K Walker,27-Dec-76,,1976\12\27,,,,,Platycheirus 94-1,-41.48,172.49
NZAC_Syrphid,NZAC04024637,,,28-Mar-07,Syrphidae,,Platycheirus,94-1,native,,,F C Thompson,,"Tararua Ra, Dundas Hut",1250m,,4042,17527,,,,,,,Translated,B G Bennett & T K Crosby,2-Dec-84,3-Dec-84,1984\12\02,,,,,Platycheirus 94-1,-40.42,175.27
NZAC_Calliph,NZAC04020696,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,Taupo,,,3841,17605,,,,,,,,JS Armstrong,10/04/1931,,1931\04\10,,,,,"Pollenia advena  Dear, 1985",-38.41,176.05
NZAC_Calliph,NZAC04027299,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",Thorpe,2006,Taupo,,,3841,17605,,,,,,,,JS Armstrong,8/11/1931,,1931\11\08,,,,,"Pollenia advena  Dear, 1985",-38.41,176.05
NZAC_Calliph,NZAC04020664,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,Mt Eden,,,3652,17445,,,,,,,,RA Harrison,7/04/1946,,1946\04\07,,on window,,,"Pollenia advena  Dear, 1985",-36.52,174.45
NZAC_Calliph,NZAC04020666,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,Mt Eden,,,3652,17445,,,,,,,,RA Harrison,4/12/1948,,1948\12\04,,garden,,,"Pollenia advena  Dear, 1985",-36.52,174.45
NZAC_Calliph,NZAC04020668,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,Mt Eden,,,3652,17445,,,,,,,,MC Harrison,30/12/1949,,1949\12\30,,,,,"Pollenia advena  Dear, 1985",-36.52,174.45
NZAC_Calliph,NZAC04020662,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020658,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020656,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020651,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020650,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020663,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020661,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020659,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020655,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020667,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,"Three Kings Is, Great I, Castaway Camp",,,3409,17207,,,,,,,,J McBurney,1/11/1970,,1970\11\01,,,,,"Pollenia advena  Dear, 1985",-34.09,172.07
NZAC_Calliph,NZAC04020665,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,Stephens I,,,4040,17359,,,,,,,,J McBurney,1/01/1971,,1971\01\01,,,,,"Pollenia advena  Dear, 1985",-52.69921289,239.7828471
NZAC_Calliph,NZAC04020648,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",JP Dear,1980,Stephens I,,,4040,17359,,,,,,,,J McBurney,1/01/1971,,1971\01\01,,,,,"Pollenia advena  Dear, 1985",-52.69921289,239.7828471
NZAC_Calliph,NZAC04027274,,,27-Aug-07,Calliphoridae,,Pollenia,advena,native,,"Dear, 1985",Thorpe,2006,"Paekakariki, Queen Elizabeth Park",,,4057,17457,,,,,,,,E Schlinger,11/11/1977,,1977\11\11,,,,,"Pollenia advena  Dear, 1985",-51.85936467,236.7978145
Auckland_Calliph,AMNZ65738,,,,CALLIPHORIDAE,,Pollenia,advena,native,,"Dear, 1986",S E Thorpe,,"Auckland, Sandringham",,,"36Ç÷ 53' 43"" South","174Ç÷ 43' 50"" East",R11,646772,,,,,est,K A J Wise,10-Nov-83,,1983\11\10,,,,,"Pollenia advena  Dear, 1986",-36.89527778,174.7305556
NZAC_Calliph,NZAC04020699,,,27-Aug-07,Calliphoridae,,Pollenia,aerosa,native,,"Dear, 1985",JP Dear,1980,Lake Paringa,,,4342,16925,,,,,,,,JI Townsend & PR Kettle,6/12/1960,10/12/1960,1960\12\06,,,,,"Pollenia aerosa  Dear, 1985",-43.42,169.25
NZAC_Calliph,NZAC04020702,,,27-Aug-07,Calliphoridae,,Pollenia,aerosa,native,,"Dear, 1985",JP Dear,1980,Lake Paringa,,,4342,16925,,,,,,,,JI Townsend & PR Kettle,6/12/1960,10/12/1960,1960\12\06,,,,,"Pollenia aerosa  Dear, 1985",-43.42,169.25
NZAC_Calliph,NZAC04020697,,,27-Aug-07,Calliphoridae,,Pollenia,aerosa,native,,"Dear, 1985",JP Dear,1980,Lake Paringa,,,4342,16925,,,,,,,,JI Townsend & PR Kettle,6/12/1960,10/12/1960,1960\12\06,,,,,"Pollenia aerosa  Dear, 1985",-43.42,169.25
NZAC_Calliph,NZAC04020700,,,27-Aug-07,Calliphoridae,,Pollenia,aerosa,native,,"Dear, 1985",JP Dear,1980,Lake Paringa,,,4342,16925,,,,,,,,JI Townsend & PR Kettle,6/12/1960,10/12/1960,1960\12\06,,,,,"Pollenia aerosa  Dear, 1985",-43.42,169.25
NZAC_Calliph,NZAC04027407,,,27-Aug-07,Calliphoridae,,Pollenia,aerosa,native,,"Dear, 1985",JP Dear,1980,Lake Paringa,,,4342,16925,,,,,,,,JI Townsend & PR Kettle,6/12/1960,10/12/1960,1960\12\06,,,,,"Pollenia aerosa  Dear, 1985",-43.42,169.25
NZAC_Calliph,NZAC04027327,,,27-Aug-07,Calliphoridae,,Pollenia,aerosa,native,,"Dear, 1985",JP Dear,1980,Lake Paringa,,,4342,16925,,,,,,,,JI Townsend & PR Kettle,6/12/1960,10/12/1960,1960\12\06,,,,,"Pollenia aerosa  Dear, 1985",-43.42,169.25
Canterb_alldata,{51660F46-D966-49C1-926F-75E720A31CF2},,CM,21-Nov-07,Calliphoridae,,Calliphora,antennatis,native,,,,,Taruarau Hill,,,,,,,,,,,,PM Johns,20-Jan-64,,1964\01\20,,tussock,manuka,,Calliphora antennalis,-47.10100823,237.7564091
Auckland_Xenocall,{04CA74AC-CC54-4C2A-BC98-75812101CA0E},,,,CALLIPHORIDAE,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",D Miller,,Antipodes Is,,,49o 41' South,178o 48' East,,,,,,,,E G Turbott,6-Nov-50,,1950\11\06,,At flowers Anistoma antipoda,,,"Xenocalliphora antipoda  (Hutton, 1902)",-58.41324026,221.1442659
Auckland_Xenocall,{B96D7BB1-766F-447D-8D52-2F575C9C05AF},,,,CALLIPHORIDAE,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",D Miller,,Antipodes Is,,,49o 41' South,178o 48' East,,,,,,,,E G Turbott,6-Nov-50,,1950\11\06,,At flowers Anistoma antipoda,,,"Xenocalliphora antipoda  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029132,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029195,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029143,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029146,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029183,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029155,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029201,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029149,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029186,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029221,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029187,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029153,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029115,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
NZAC_Xenocall,NZAC04029170,,NZAC,7-Feb-08,Calliphoridae,,Xenocalliphora,antipodea,native,,"(Hutton, 1902)",R A Harrison,1970,"Antipodes I, Reef Pt",,,4940,17848,,,,,,,,G Kuschel,8-Feb-69,,1969\02\08,,,,,"Xenocalliphora antipodea  (Hutton, 1902)",-58.41324026,221.1442659
