Species,Region,Locality,Sex,Date,Ecology,Collector,Collection 
Bombus terrestris,,"Banks Peninsula, Prices Valley",f,,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,Nest (dead),,
Bombus terrestris,MC,Lakeside,m,20/05/69,"Nest, dead",,
Bombus terrestris,MC,Lakeside,m,20/05/69,Nest,,
Bombus terrestris,TO,Piriaka,f,14/10/69,Dead at beehive entrance,,
Bombus terrestris,TO,Taupo,f,15/10/69,,,
Bombus terrestris,TO,Taupo town,f,15/10/69,Rhododendron ponticum (red),,
Bombus terrestris,TO,Piriaka,f,16/10/69,On flowering cherry,,
Bombus terrestris,TO,Piriaka,f,16/10/69,On flowering cherry,,
Bombus terrestris,TO,Piriaka,,16/10/69,On flowering cherry,,
Bombus terrestris,MC,"Christchurch, Allister Avenue",,28/11/69,Centaurea sp.,,
Bombus terrestris,MC,"Christchurch, Allister Avenue",,28/11/69,Centaurea sp.,,
Bombus terrestris,MC,"Christchurch, Allister Avenue",,28/11/69,Centaurea sp.,,
Bombus terrestris,KA,Conway Flats,,29/11/69,,,
Bombus terrestris,KA,Conway Flats,,29/11/69,Lucerne flowers,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest in hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest in hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest among hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest among hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest among hay,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
