"","country","post1980","pre1980"
"4","AG",4,0
"5","AI",1,0
"9","AQ",0,0
"11","AS",0,0
"17","BA",10,0
"18","BB",0,0
"19","BD",2,0
"23","BH",0,0
"26","BL",1,0
"27","BM",0,0
"28","BN",0,0
"30","BQ",4,0
"33","BT",8,0
"34","BV",0,0
"39","CC",0,0
"42","CG",1,0
"45","CK",1,0
"52","CV",6,0
"53","CW",0,0
"58","DJ",0,0
"66","EH",0,0
"71","FJ",5,0
"72","FK",0,0
"74","FO",0,0
"78","GD",0,0
"83","GI",0,0
"84","GL",39,0
"86","GN",0,0
"87","GP",34,0
"88","GQ",0,0
"90","GS",0,0
"93","GW",0,0
"96","HM",0,0
"106","IO",0,0
"107","IQ",4,0
"109","IS",8,0
"111","JE",0,0
"117","KH",4,0
"118","KI",0,0
"119","KM",0,0
"120","KN",0,0
"121","KP",0,0
"123","KW",0,0
"124","KY",0,0
"126","LA",3,0
"128","LC",1,0
"129","LI",0,0
"138","MC",0,0
"141","MF",0,0
"143","MH",0,0
"148","MO",0,0
"150","MQ",22,0
"151","MR",1,0
"152","MS",2,0
"155","MV",24,0
"167","NP",21,0
"168","NR",0,0
"169","NU",0,0
"179","PM",0,0
"180","PN",1,0
"184","PW",0,0
"186","QA",0,0
"187","RE",0,0
"191","RW",4,0
"198","SH",0,0
"200","SJ",0,0
"203","SM",0,0
"204","SN",2,0
"207","SS",0,0
"208","ST",1,0
"210","SX",0,0
"211","SY",0,0
"213","TC",0,0
"214","TD",0,0
"215","TF",0,0
"216","TG",0,0
"219","TK",0,0
"220","TL",3,0
"223","TO",0,0
"226","TV",0,0
"227","TW",77,0
"231","UM",0,0
"235","VA",0,0
"238","VG",7,0
"242","WF",0,0
"243","WS",0,0
"245","YT",0,0
"14","AW",2,1
"21","BF",7,1
"67","ER",1,1
"73","FM",1,1
"81","GG",3,1
"218","TJ",7,1
"127","LB",5,2
"139","MD",2,2
"145","ML",2,2
"233","UY",85,2
"6","AL",7,3
"44","CI",11,3
"60","DM",10,3
"85","GM",3,3
"112","JM",9,3
"135","LV",15,3
"136","LY",23,3
"140","ME",7,3
"144","MK",5,3
"162","NF",3,3
"205","SO",5,3
"161","NE",4,4
"194","SC",12,4
"131","LR",9,5
"154","MU",7,5
"182","PS",10,5
"92","GU",8,6
"195","SD",7,6
"197","SG",93,6
"240","VN",213,6
"1","AD",16,7
"79","GE",14,7
"133","LT",21,7
"193","SB",25,8
"24","BI",57,10
"212","SZ",17,10
"221","TM",11,10
"225","TT",242,10
"241","VU",10,10
"69","ET",27,14
"99","HT",26,16
"202","SL",21,16
"192","SA",179,18
"174","PF",24,22
"54","CX",24,23
"104","IM",45,23
"189","RS",45,23
"125","KZ",38,25
"244","YE",38,29
"95","HK",128,30
"122","KR",101,30
"234","UZ",36,34
"176","PH",197,35
"116","KG",146,37
"113","JO",41,39
"201","SK",69,42
"62","DZ",114,45
"47","CM",79,47
"153","MT",49,47
"156","MW",116,50
"175","PG",215,51
"230","UG",129,54
"41","CF",113,55
"36","BY",74,59
"199","SI",107,60
"222","TN",79,61
"206","SR",350,63
"158","MY",954,65
"8","AO",794,66
"82","GH",266,68
"236","VC",84,72
"35","BW",188,74
"16","AZ",82,77
"239","VI",133,83
"76","GA",356,89
"217","TH",515,102
"147","MN",146,104
"37","BZ",373,106
"183","PT",232,118
"94","GY",748,121
"159","MZ",283,121
"163","NG",243,122
"171","OM",202,159
"209","SV",327,171
"55","CY",400,175
"146","MM",336,178
"181","PR",390,180
"188","RO",477,180
"15","AX",200,182
"149","MP",211,202
"130","LK",1924,208
"40","CD",337,215
"32","BS",243,223
"101","ID",1131,240
"115","KE",623,267
"97","HN",826,275
"177","PK",520,275
"247","ZM",372,291
"103","IL",364,313
"178","PL",8581,351
"190","RU",1133,357
"48","CN",1747,369
"185","PY",1389,372
"43","CH",30220,373
"61","DO",523,384
"7","AM",456,413
"22","BG",434,440
"98","HR",739,478
"3","AF",623,511
"80","GF",2997,540
"100","HU",657,569
"164","NI",1859,667
"160","NC",739,722
"63","EC",2945,724
"2","AE",752,742
"65","EG",1107,838
"237","VE",2418,993
"224","TR",1276,1011
"228","TZ",1761,1030
"25","BJ",1635,1275
"132","LS",1831,1415
"248","ZW",2750,1449
"229","UA",1730,1540
"49","CO",4238,1574
"172","PA",3875,1617
"137","MA",2273,1889
"170","NZ",4304,2183
"89","GR",2720,2188
"110","IT",3262,2259
"75","FR",3965,2534
"142","MG",4081,2661
"56","CZ",3326,2720
"105","IN",5710,2909
"29","BO",8128,3157
"46","CL",5780,3799
"91","GT",7251,4047
"59","DK",7578,4280
"68","ES",6259,4659
"249",NA,6510,4775
"51","CU",6297,5712
"173","PE",14506,6575
"134","LU",7512,6692
"64","EE",13765,6703
"108","IR",7058,6845
"12","AT",10414,7222
"102","IE",37223,7948
"114","JP",15971,10085
"165","NL",16848,10372
"246","ZA",48168,27493
"166","NO",90174,34395
"57","DE",74731,34578
"50","CR",89996,37668
"10","AR",47007,38336
"31","BR",158926,41219
"20","BE",53200,47344
"70","FI",68176,53069
"38","CA",99082,57004
"77","GB",233850,72376
"157","MX",217526,107018
"196","SE",284604,186732
"13","AU",266647,244618
"232","US",1787698,1366521
