country,taxa,bumble_bees_included,area_coverage,percent_richness_change,period,period_1_richness,period_2_richness,richness_decline,no_species_abundace_increase,no_species_abundance_decrease,study,notes
Brazil,bee,NA,Afonso Pena International Airport,-0.216,62-63vs04-05,167.000,131.000,NA,NA,NA,"Martins, A. C., Gonáalves, R. B., & Melo, G. A. R. (2013). Changes in wild bee fauna of a grassland in Brazil reveal negative effects associated with growing urbanization during the last 40 years. Zoologia, 30(2), 157-176. 10.1590/S1984-46702013000200006",
England,bee,NA,local sites (size not specified),0.038,1921-1950vs1983-2012,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),-0.278,1921-1950vs1983-2013,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),-0.130,1921-1950vs1983-2014,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),-0.220,1921-1950vs1983-2015,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),-0.238,1921-1950vs1983-2016,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),-0.164,1921-1950vs1983-2017,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),-0.261,1921-1950vs1983-2018,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),-0.117,1921-1950vs1983-2019,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
England,bee,NA,local sites (size not specified),0.070,1921-1950vs1983-2020,NA,NA,NA,NA,NA,"Senapathi, D., Carvalheiro, L. G., Biesmeijer, J. C., Dodson, C. A., Evans, R. L., McKerchar, M., Morton, D. R., Moss, E. D., Roberts, S. P. M., Kunin, W. E., & Potts, S. G. (2015). The impact of over 80 years of land cover changes on bee and wasp pollinator communities in England. Proceedings of the Royal Society B: Biological Sciences, 282(1806) 10.1098/rspb.2015.0294",
