,Var1,Freq,Locality,Lat ,Long ,"Precision(site, city, natural park, etc…)",,,
1,"""Finca Zamadue?as""",248,Zamadueñas,41.698036,-4.708621,site,,,
2,Toro,234,Toro,,,,,,
3,Granja Escuela Jose Antonio,172,auditorio_Delibes,,,,,,
4,Villab??ez,115,,,,,,,
5,Santo?a,105,Santo–a,,,,,x,auditorio_Delibes
6,Traspinedo,100,,,,,,x,hornillos
7,Do?ana,94,Do–ana,,,,,,olmedo
8,"""""Finca Zamadue?as""""",78,Zamadue–as,,,,,,sanbernardo
9,Hornillos,73,Hornillos,,,,,x,toro
10,Quintanilla de Abajo,72,,,,,,,vilalba
11,Alba de los Carda?os,62,Alba de los Carda–os,,,,,x,zamaduenas
12,?scar,60,,,,,,,
13,"""Camino Hondo"" Granja Escuela Jose Antonio",60,auditorio_Delibes,,,,,,
14,El Pinar,60,,,,,,,
15,Montes de Oca,54,,,,,,,
16,Cazorla,52,,,,,,,
17,Cantalejo,49,,,,,,,
18,Villafranca del Bierzo,49,,,,,,,
19,Batuecas,47,,,,,,,
20,Paredes de Nava,47,,,,,,,
21,Pe?afiel,44,Pe–afiel,,,,,,
22,Cigales,43,,,,,,,
23,Osera,43,,,,,,,
24,Papiol,41,,,,,,,
25,Sanabria,41,,,,,,,
26,Fuentidue?a,39,Fuentidue–a,,,,,,
27,Sierra de Cazorla,39,,,,,,,
28,Villanueva,39,,,,,,,
29,Mula,38,,,,,,,
30,Quintanilla de Yuso,38,,,,,,,
31,Valladolid,38,,,,,,,
32,San Miguel de Arroyo,36,,,,,,,
33,Bejes,33,,,,,,,
34,Rold?n,31,,,,,,,
35,Guisando,30,,,,,,,
36,Parc. 16 Granja Escuela Jose Antonio,30,auditorio_Delibes,,,,,,
37,Piedrafita del Cebrero,30,,,,,,,
38,"""Los ?lamos""",29,,,,,,,
39,Librilla,28,,,,,,,
40,Alcal? de Henares,26,,,,,,,
41,Fuensalda?a,26,,,,,,,
42,Mojados,26,,,,,,,
43,Perrozo,25,,,,,,,
44,Salamanca,24,,,,,,,
45,Fuentespina?,23,,,,,,,
46,"""Granja de Ma?ces""",,,,,,,,
47,Pastrana,21,,,,,,,
48,Quintanilla de abajo,21,,,,,,,
49,Tapia de Casariego,21,,,,,,,
50,Arnuero,20,,,,,,,
51,Alcazar?n,19,,,,,,,
52,Guadalupe,19,,,,,,,
53,Padilla,19,,,,,,,
54,parc.16,,,,,,,,
55,La Alberca,18,,,,,,,
56,Trillayo,18,,,,,,,
57,"""Camino Hondo"" Talud 1",,,,,,,,
58,Quintanilla de On?simo,17,,,,,,,
59,Taller Granja Escuela Jose Antonio,17,,,,,,,
60,Canduela,16,,,,,,,
61,Herrera de Duero,16,,,,,,,
62,La Granja,16,,,,,,,
63,Simancas,16,,,,,,,
64,"""Coto Bajo Matallana""",,,,,,,,
65,Cillorigo,15,,,,,,,
66,Pinar,15,,,,,,,
67,Torreblanca,,,,,,,,
68,Torremormoj?n,15,,,,,,,
69,Villafuerte,15,,,,,,,
70,Castronu?o,14,,,,,,,
71,Paradilla del Alcor,14,,,,,,,
72,"""La Armedilla""",,,,,,,,
73,La Flecha,13,,,,,,,
74,La Ventosilla,13,,,,,,,
75,Villaseca,13,,,,,,,
76,"""Las Fuentes""",,,,,,,,
77,"""Torreblanca"" Torrepacheco",12,,,,,,,
78,Corchuela,12,,,,,,,
79,San llorente,12,,,,,,,
